Regulator,Target,raw_importance,norm_importance,is_pdac_driver
PODXL,FIBCD1,0.0055124396458268166,0.0055124396458268166,False
FN1,APOE,0.005512407515197992,0.005512407515197992,False
MYLK,EFHD1,0.005512363743036985,0.005512363743036985,False
GUCY1A2,GJA4,0.005512284580618143,0.005512284580618143,False
AIF1,AP001055.6,0.005512225907295942,0.005512225907295942,False
RP11-696F12.1,AC005786.7,0.00551213463768363,0.00551213463768363,False
COL1A2,CPA1,0.005512087140232325,0.005512087140232325,False
PDGFRB,COL12A1,0.0055120536126196384,0.0055120536126196384,False
CTSK,RGS16,0.005511898081749678,0.005511898081749678,False
PI3,CXCL17,0.00551186129450798,0.00551186129450798,False
THY1,PTGDS,0.005511777009814978,0.005511777009814978,False
SUGCT,PDZRN3,0.005511755123734474,0.005511755123734474,False
DUOX2,RGPD2,0.005511526018381119,0.005511526018381119,False
HSPA6,ORM1,0.0055114771239459515,0.0055114771239459515,False
LY96,TREM2,0.0055114203132689,0.0055114203132689,False
TACSTD2,LDHB,0.005511405877768993,0.005511405877768993,False
CSF2RA,GPR183,0.005511327181011438,0.005511327181011438,False
FIBIN,EDIL3,0.005511308088898659,0.005511308088898659,False
HPCAL1,BRI3,0.0055112773552536964,0.0055112773552536964,False
TIMP3,MFAP2,0.005511242430657148,0.005511242896318436,False
RPL38,AKT1,0.00551116606220603,0.00551116606220603,False
MROH2B,CELF3,0.005511144176125526,0.005511144176125526,False
TCHH,ADRB3,0.005511119496077299,0.005511119496077299,False
CEACAM6,CAV2,0.005511013325303793,0.005511013325303793,False
LAPTM5,SLC11A1,0.005510950461030006,0.005510950461030006,False
LYPD6B,SLPI,0.005510891322046518,0.005510891787707806,False
STAC,FAM74A6,0.005510890856385231,0.005510890856385231,False
ZEB2,TACSTD2,0.005510786082595587,0.005510786548256874,False
CD86,GPRIN3,0.005510777235031128,0.005510777235031128,False
PCOLCE,COMP,0.0055106692016124725,0.0055106692016124725,False
MDK,AC008440.5,0.00551066268235445,0.00551066268235445,False
PLEK,FCGR3A,0.005510643590241671,0.005510643590241671,False
LINC00460,WDR72,0.00551060913130641,0.00551060913130641,False
CXCR3,GZMK,0.005510539282113314,0.005510539282113314,False
AEBP1,SDC2,0.005510520655661821,0.005510520655661821,False
MOXD1,CST2,0.0055105057545006275,0.0055105057545006275,False
FCER1G,FAM49A,0.0055104210041463375,0.0055104210041463375,False
FCGR2A,RP11-701P16.5,0.00551027525216341,0.00551027525216341,False
REG4,MUC5AC,0.0055101350881159306,0.0055101350881159306,False
SERPING1,CRISPLD2,0.0055100382305681705,0.0055100382305681705,False
OGN,SFRP4,0.005510006099939346,0.005510006099939346,False
DEPTOR,HP,0.005509738344699144,0.005509738344699144,False
FHL5,EFHD1,0.005509624257683754,0.005509624257683754,False
PPP1R14A,PGF,0.005509539972990751,0.005509539972990751,False
C1QA,RP11-145M9.4,0.005509504582732916,0.005509504582732916,False
PPP1R1B,SUCNR1,0.005509495735168457,0.005509495735168457,False
FXYD6,DPT,0.005509447306394577,0.005509447772055864,False
MFAP4,VCAN,0.005509403999894857,0.005509403999894857,False
CCL8,IFIT2,0.005509220529347658,0.005509220529347658,False
CPA2,APCDD1,0.005509186536073685,0.005509186536073685,False
PTPRC,SYTL3,0.005509181879460812,0.005509181879460812,False
FOS,HES1,0.0055091772228479385,0.005509177688509226,True
LGALS4,B3GALT5,0.005509156733751297,0.005509156733751297,False
CORO1A,TIGIT,0.005509106442332268,0.005509106442332268,False
SUCNR1,MMP1,0.005509066395461559,0.005509066395461559,False
HLA-DQB1,OSM,0.005508904345333576,0.005508904345333576,False
COL15A1,APLNR,0.005508879199624062,0.005508879199624062,False
CGB7,RP11-398G24.2,0.005508864298462868,0.005508864298462868,False
GAPT,HESX1,0.005508696660399437,0.005508696660399437,False
SOD3,PGF,0.005508634261786938,0.005508634261786938,False
MT2A,ITPR2,0.00550861656665802,0.00550861656665802,False
COL11A1,GXYLT2,0.0055085900239646435,0.0055085900239646435,False
FMNL1,DUSP2,0.005508542526513338,0.005508542526513338,False
CLEC14A,IL33,0.0055085113272070885,0.0055085113272070885,False
HOPX,COL5A1,0.0055084931664168835,0.0055084931664168835,False
RP11-720L2.4,XXbac-BPG308K3.6,0.005508468020707369,0.005508468020707369,False
COL6A1,MBOAT2,0.005508369766175747,0.005508369766175747,False
KLK6,LGALS4,0.005508245434612036,0.005508245434612036,False
HLA-DRB5,CTSS,0.00550809595733881,0.00550809595733881,False
TPT1,DPCR1,0.00550801632925868,0.00550801632925868,False
RIMS2,CXCR5,0.005507507361471653,0.005507507361471653,False
TREM2,ZNF331,0.005507380701601505,0.005507380701601505,False
SERPING1,INHBA,0.005507342983037233,0.005507342983037233,False
FCGR2A,HLA-DOA,0.005507282912731171,0.005507282912731171,False
ENG,F2R,0.005507233552634716,0.005507233552634716,False
FPR3,ABI3,0.005507147405296564,0.005507147405296564,False
CCL13,RP11-802O23.3,0.005507014226168394,0.005507014226168394,False
HP,HPX,0.005506889428943396,0.005506889894604683,False
GINS4,APOBEC3B,0.005506882909685373,0.005506882909685373,False
C1QC,RP11-145M9.4,0.00550652202218771,0.00550652202218771,False
GATA2,S100A1,0.005506352987140417,0.005506352987140417,False
PBX1,CSTB,0.005506298970431089,0.005506298970431089,False
FPR3,SGK1,0.005506278481334448,0.005506278481334448,False
COL10A1,RCN3,0.005506252869963646,0.005506252869963646,False
SLC16A10,MS4A4A,0.005506246816366911,0.005506246816366911,False
IKZF1,LIMD2,0.00550617603585124,0.00550617603585124,False
PCDH12,APOLD1,0.005506102927029133,0.005506102927029133,False
BGN,RUNX1T1,0.0055060675367712975,0.005506068002432585,False
PRELP,HOXB2,0.005505891051143408,0.005505891051143408,False
TM6SF1,HAVCR2,0.005505874752998352,0.005505874752998352,False
CD68,OSM,0.005505857523530722,0.005505857523530722,False
PLA2G1B,SYCN,0.005505781155079603,0.005505781155079603,False
DKK3,MYL9,0.005505756009370089,0.005505756475031376,False
TMEM204,PCDH18,0.005505719222128391,0.005505719222128391,False
LILRB4,FCGR1A,0.005505584646016359,0.005505585111677647,False
CYBA,HBG1,0.005505560897290707,0.005505560897290707,False
ELN,ZNF667-AS1,0.005505424924194813,0.005505424924194813,False
PLA2G2A,VTN,0.0055054170079529285,0.0055054170079529285,False
HLA-DQA2,CALCA,0.005505342036485672,0.005505342036485672,False
TBC1D10C,ICOS,0.00550521444529295,0.00550521444529295,False
MARCH1,CD86,0.005505047272890806,0.005505047272890806,False
NCF2,RP11-598F7.3,0.005504939705133438,0.005504939705133438,False
PLXDC2,SDC2,0.005504899192601442,0.005504899192601442,False
ENG,HEG1,0.005504873115569353,0.005504873115569353,False
CLEC7A,CD74,0.005504865664988756,0.005504865664988756,False
ARHGEF15,PCDH12,0.005504712462425232,0.005504712462425232,False
KLHDC7B,MIR205HG,0.005504611413925886,0.005504611413925886,False
FAM3B,ADM,0.00550457276403904,0.00550457276403904,False
FGF7,HSPB2,0.005504509434103966,0.005504509434103966,False
CYBB,HMOX1,0.005504374857991934,0.005504374857991934,False
CACNA2D3,ATP8B4,0.005504365544766188,0.005504365544766188,False
MALAT1,ITM2A,0.005504194647073746,0.005504194647073746,False
RP5-1024N4.4,AC003090.1,0.0055041383020579815,0.0055041383020579815,False
S100P,EDN1,0.0055041229352355,0.0055041229352355,False
CECR1,FLI1,0.0055039189755916595,0.0055039189755916595,False
TUBA1A,ITGB6,0.0055039143189787865,0.0055039143189787865,False
PLAT,CENPW,0.005503907799720764,0.005503907799720764,False
TNFSF13B,FAM49A,0.005503885913640261,0.005503885913640261,False
SLC2A5,OTUD7A,0.005503801628947258,0.005503801628947258,False
AIF1,CYTIP,0.005503668915480375,0.005503668915480375,False
C8orf4,CXCL2,0.0055036176927387714,0.0055036176927387714,False
RBP7,KDR,0.005503576714545488,0.005503576714545488,False
CD3E,SYTL3,0.005503490567207336,0.005503490567207336,False
VIM,ERBB2,0.005503468215465546,0.005503468215465546,True
CECR1,CD52,0.005503411404788494,0.005503411404788494,False
INHBA,DCN,0.005503360647708178,0.005503360647708178,False
SLC2A1,AP2B1,0.005503280088305473,0.005503280088305473,False
EDIL3,PDLIM3,0.00550327030941844,0.00550327030941844,False
CD68,LAPTM5,0.005503139458596706,0.005503139924257994,False
FPR3,CCL18,0.005503089167177677,0.005503089167177677,False
C19orf33,WFDC2,0.0055030821822583675,0.005503082647919655,False
STMN1,CLSPN,0.0055030654184520245,0.0055030654184520245,False
AC003090.1,RP5-1024N4.4,0.005503006279468536,0.005503006279468536,False
FIBCD1,TEX9,0.005502990912646055,0.005502990912646055,False
OSCAR,NCF2,0.005502905230969191,0.005502905230969191,False
GDF15,TFF2,0.005502872634679079,0.005502872634679079,False
PRSS35,LINC00535,0.005502768326550722,0.005502768326550722,False
FYB,S100A12,0.005502653308212757,0.005502653308212757,False
CHN1,GNG11,0.005502624437212944,0.005502624437212944,False
CD48,FMNL1,0.005502610933035612,0.005502610933035612,False
OLR1,TNFAIP3,0.005502602085471153,0.005502602085471153,False
LINC00342,KRT23,0.005502577405422926,0.005502577405422926,False
GGT5,MGP,0.005502421874552965,0.005502421874552965,False
TMEM45B,WDR72,0.0055023375898599625,0.0055023375898599625,False
APOC1,IGSF6,0.005502153653651476,0.005502153653651476,False
EGFL7,FIBCD1,0.0055021196603775024,0.0055021196603775024,False
PPP1R14A,PLAC9,0.005501800216734409,0.005501800216734409,False
RP11-290F20.3,CECR1,0.005501757841557264,0.005501757841557264,False
CD53,AP001055.6,0.005501692183315754,0.005501692183315754,False
FAM21D,CLLU1OS,0.005501618143171072,0.005501618143171072,False
NCF2,CCRL2,0.005501533392816782,0.005501533858478069,False
CALD1,MSRB3,0.0055014593526721,0.0055014593526721,False
OLR1,SIGLEC1,0.005501411389559507,0.005501411389559507,False
RP11-131N11.4,CCR4,0.005501341074705124,0.005501341074705124,False
HCLS1,PRKCB,0.005501320585608482,0.005501320585608482,False
TM6SF2,RP11-95H3.1,0.005501310806721449,0.005501310806721449,False
HOPX,LRRC32,0.005501246079802513,0.005501246079802513,False
CD93,THBD,0.005501211155205965,0.005501211155205965,False
DCN,SLC2A3,0.005501131992787123,0.005501131992787123,False
